name,class,vertices,faces,bbox
m1337.obj,AircraftBuoyant,2947,6097,0.025 0.889234 0.025 0.975 0.025 0.889234
m1338.obj,AircraftBuoyant,2994,5931,0.025 0.933058 0.024997458 0.975 0.025 0.937901
m1339.obj,AircraftBuoyant,3217,4611,0.025 0.607072 0.0270096 0.695174 0.025 0.626812
m1340.obj,AircraftBuoyant,2737,6074,0.025 0.367686 0.025 0.975 0.025 0.367689
m1341.obj,AircraftBuoyant,2870,6095,0.025 0.379575 0.025 0.975 0.025 0.379575
m1342.obj,AircraftBuoyant,2408,6016,0.024966 0.611587 0.025 0.9750143 0.0250119 0.6093682
m1343.obj,AircraftBuoyant,2810,6087,0.025 0.710921 0.025 0.975 0.025 0.710921
m1344.obj,AircraftBuoyant,2829,6039,0.025 0.674099 0.0250012 0.975 0.025 0.6741
m1345.obj,AircraftBuoyant,1491,5825,0.025 0.601277 0.025683 0.975 0.0260847 0.601277
m1346.obj,AircraftBuoyant,2412,5713,0.025 0.322079 0.0308808 0.354725 0.025 0.975
m1347.obj,AircraftBuoyant,2636,6095,0.025 0.312086 0.0250034 0.419881 0.025 0.975
m1348.obj,AircraftBuoyant,2423,5708,0.025 0.3213912 0.030886 0.354958 0.0264438 0.975
m1349.obj,AircraftBuoyant,2264,5565,0.0542778 0.975 0.0326035 0.349699 0.031294 0.267774
m1350.obj,AircraftBuoyant,2548,6083,0.025 0.975 0.025 0.291317 0.025 0.305022
m1351.obj,AircraftBuoyant,882,1737,0.02505425 0.2082395 0.025028056 0.2191825 0.025 0.975
m1352.obj,AircraftBuoyant,2441,5901,0.0278747 0.975 0.025 0.376642 0.0247417 0.3326293
D00045.obj,Apartment,1995,5358,-0.613186 0.82902664 -0.700915 0.77041507 -0.5320173 0.354253
D00086.obj,Apartment,1147,2723,-0.920883 0.863162 -0.34377217 1.32482 -0.415469 0.293879
D00138.obj,Apartment,659,1510,-0.7826821 0.776339 -0.514535 0.633157 -0.317783 0.198885
